Shipping Point,DepotLongitude,DepotLatitude,Ship to,CusLongitude,CusLatitude,Planned Delivery Date,DOW,Beginning1,Ending1,Beginning2,Ending2,Number of HUs,Dwell Time,Total Volume,Total Weight,AllowedTrucks
2524,121.09739842881,14.309532385263,70594578,,,2023-03-16,Thursday,,,,,1.0,0.35,0.001,0.2,"{AUV, MC, 4w, 6w}"
2522,121.084957449375,14.5440065750203,70590992,,,2023-06-01,Thursday,,,,,1.0,0.35,0.006,4.272,"{4w, 6w, 10w}"
2522,121.084957449375,14.5440065750203,70593149,,,2023-05-29,Monday,,,,,2.0,0.45,0.025,14.88,"{4w, 6w, 10w}"
2522,121.084957449375,14.5440065750203,70593149,,,2023-05-29,Monday,,,,,1.0,0.35,0.004,2.04,"{4w, 6w, 10w}"
2522,121.084957449375,14.5440065750203,70593149,,,2023-05-26,Friday,,,,,2.0,0.45,0.132,37.276,"{4w, 6w, 10w}"
2524,121.09739842881,14.309532385263,70019315,121.0459705,14.56515049,2023-01-13,Friday,08:00,17:00,,,1.0,1.0,0.005,30000.0,"{AUV, 4w, 6w, 10w, 40ft}"
