Delivery,TransPlnngPt,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Shipping Type,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group,Delivery Route
176298190,25P2,"6,972.00","6,972.00","16,000.00",G,CCM,1510965851,1/11/2023,1/12/2023,1,70019459,ZPLF,2510,2,ZP01,SG00FE
176298191,25P2,487,487,"2,000.00",G,CCM,1510965723,1/11/2023,1/12/2023,1,70019459,ZPLF,2510,1,ZP01,SG00FE
176298520,25P2,"5,267.00","5,267.00","24,000.00",G,CCM,1510970737,1/12/2023,1/13/2023,1,70083842,ZPLF,2510,2,ZP01,SG00GS
176298521,25P2,"12,530.00","12,530.00","32,000.00",G,CCM,1510971438,1/12/2023,1/13/2023,1,70083842,ZPLF,2510,4,ZP01,SG00GS
176298522,25P2,"16,638.00","16,638.00","41,000.00",G,CCM,1510972176,1/12/2023,1/13/2023,1,70083842,ZPLF,2510,6,ZP01,SG00GS
176298523,25P2,"8,006.00","8,006.00","24,000.00",G,CCM,1510972108,1/12/2023,1/13/2023,1,70083842,ZPLF,2510,2,ZP01,SG00GS
176298625,25P2,"2,368.00","2,368.00","15,000.00",G,CCM,1510971131,1/12/2023,1/13/2023,1,70435202,ZPLF,2510,1,ZP01,SG00GS
176298626,25P2,"8,455.00","8,455.00","15,000.00",G,CCM,1510970677,1/12/2023,1/13/2023,1,70435202,ZPLF,2510,1,ZP01,SG00GS
176298627,25P2,"13,723.00","13,723.00","34,000.00",G,CCM,1510972056,1/12/2023,1/13/2023,1,70435202,ZPLF,2510,5,ZP01,SG00GS
176298628,25P2,"2,002.00","2,002.00","12,000.00",G,CCM,1510972625,1/12/2023,1/13/2023,1,70435202,ZPLF,2510,2,ZP01,SG00GS
176298676,25P2,"4,949.00","4,949.00","17,000.00",G,CCM,1510966072,1/11/2023,1/13/2023,1,70155196,ZPLF,2510,1,ZP01,SG00GV
176298677,25P2,"20,584.00","20,584.00","39,000.00",G,CCM,1510967560,1/11/2023,1/13/2023,1,70155196,ZPLF,2510,4,ZP01,SG00GV
176298678,25P2,"8,109.00","8,109.00","20,000.00",G,CCM,1510965955,1/11/2023,1/13/2023,1,70155196,ZPLF,2510,2,ZP01,SG00GV
176298679,25P2,"12,446.00","12,446.00","38,000.00",G,CCM,1510967018,1/11/2023,1/13/2023,1,70155196,ZPLF,2510,3,ZP01,SG00GV
176298821,25P2,"7,693.00","7,693.00","22,000.00",G,CCM,1510966247,1/11/2023,1/12/2023,1,70043250,ZPLF,2510,3,ZP01,SG00FE
176298822,25P2,"3,110.00","3,110.00","9,000.00",G,CCM,1510965285,1/11/2023,1/12/2023,1,70043250,ZPLF,2510,1,ZP01,SG00FE
176298823,25P2,687,687,"4,000.00",G,CCM,1510966102,1/11/2023,1/12/2023,1,70043250,ZPLF,2510,1,ZP01,SG00FE
176298867,25P2,"1,669.00","1,669.00","4,000.00",G,CCM,1510966116,1/11/2023,1/12/2023,1,70132664,ZPLF,2510,1,ZP01,SG00FE
176298906,25P2,"6,160.00","6,160.00","21,000.00",G,CCM,1510971500,1/12/2023,1/13/2023,1,70081032,ZPLF,2510,2,ZP01,SG00GR
176298907,25P2,"22,869.00","22,869.00","40,000.00",G,CCM,1510970799,1/12/2023,1/13/2023,1,70081032,ZPLF,2510,3,ZP01,SG00GR
176298908,25P2,"21,112.00","21,112.00","41,000.00",G,CCM,1510972111,1/12/2023,1/13/2023,1,70081032,ZPLF,2510,3,ZP01,SG00GR
176298909,25P2,"2,723.00","2,723.00","9,000.00",G,CCM,1510972135,1/12/2023,1/13/2023,1,70081032,ZPLF,2510,1,ZP01,SG00GR
176298977,25P2,"8,088.00","8,088.00","17,000.00",G,CCM,1510966123,1/11/2023,1/12/2023,1,70029285,ZPLF,2510,2,ZP01,SG00FE
176298978,25P2,"5,819.00","5,819.00","26,000.00",G,CCM,1510966218,1/11/2023,1/12/2023,1,70029285,ZPLF,2510,2,ZP01,SG00FE
176298979,25P2,"1,274.00","1,274.00","4,000.00",G,CCM,1510965910,1/11/2023,1/12/2023,1,70029285,ZPLF,2510,1,ZP01,SG00FE
176299088,25P2,"3,261.00","3,261.00","12,000.00",G,CCM,1510970824,1/12/2023,1/13/2023,1,70351598,ZPLF,2510,2,ZP01,SG00GS
176299089,25P2,"7,157.00","7,157.00","16,000.00",G,CCM,1510972318,1/12/2023,1/13/2023,1,70351598,ZPLF,2510,3,ZP01,SG00GS
176299090,25P2,"5,067.00","5,067.00","14,000.00",G,CCM,1510971711,1/12/2023,1/13/2023,1,70351598,ZPLF,2510,1,ZP01,SG00GS
176299125,25P2,"2,721.00","2,721.00","11,000.00",G,CCM,1510970222,1/12/2023,1/13/2023,1,70373907,ZPLF,2510,1,ZP01,SG00GS
176299126,25P2,"7,657.00","7,657.00","21,000.00",G,CCM,1510972256,1/12/2023,1/13/2023,1,70373907,ZPLF,2510,4,ZP01,SG00GS
176299127,25P2,"3,221.00","3,221.00","12,000.00",G,CCM,1510972177,1/12/2023,1/13/2023,1,70373907,ZPLF,2510,1,ZP01,SG00GS
176299347,25P2,"4,766.00","4,766.00","11,000.00",G,CCM,1510971575,1/12/2023,1/13/2023,1,70401488,ZPLF,2510,2,ZP01,SG00GS
176299348,25P2,"5,988.00","5,988.00","17,000.00",G,CCM,1510972219,1/12/2023,1/13/2023,1,70401488,ZPLF,2510,3,ZP01,SG00GS
176299349,25P2,"3,375.00","3,375.00","10,000.00",G,CCM,1510971836,1/12/2023,1/13/2023,1,70401488,ZPLF,2510,1,ZP01,SG00GS
176299386,25P2,"8,566.00","8,566.00","24,000.00",G,CCM,1510972361,1/12/2023,1/13/2023,1,70428043,ZPLF,2510,4,ZP01,SG00GR
176299387,25P2,"14,469.00","14,469.00","30,000.00",G,CCM,1510970831,1/12/2023,1/13/2023,1,70428043,ZPLF,2510,3,ZP01,SG00GR
176299420,25P2,"5,419.00","5,419.00","15,000.00",G,CCM,1510972827,1/12/2023,1/13/2023,1,70408280,ZPLF,2510,3,ZP01,SG00GS
176299421,25P2,"2,327.00","2,327.00","6,000.00",G,CCM,1510971526,1/12/2023,1/13/2023,1,70408280,ZPLF,2510,2,ZP01,SG00GS
176299669,25P2,"2,832.00","2,832.00","10,000.00",G,CCM,1510971791,1/12/2023,1/13/2023,1,70464520,ZPLF,2510,2,ZP01,SG00GS
176299670,25P2,"5,156.00","5,156.00","18,000.00",G,CCM,1510971949,1/12/2023,1/13/2023,1,70464520,ZPLF,2510,3,ZP01,SG00GS
176299784,25P2,"3,534.00","3,534.00","14,000.00",G,CCM,1510966580,1/11/2023,1/12/2023,1,70465560,ZPLF,2510,1,ZP01,SG00FE
176299785,25P2,"13,233.00","13,233.00","28,000.00",G,CCM,1510966613,1/11/2023,1/12/2023,1,70465560,ZPLF,2510,3,ZP01,SG00FE
176299786,25P2,"11,701.00","11,701.00","31,000.00",G,CCM,1510966411,1/11/2023,1/12/2023,1,70465560,ZPLF,2510,2,ZP01,SG00FE
176299909,25P2,"4,414.00","4,414.00","12,000.00",G,CCM,1510972330,1/12/2023,1/13/2023,1,70490240,ZPLF,2510,3,ZP01,SG00GS
176299910,25P2,"2,235.00","2,235.00","9,000.00",G,CCM,1510971928,1/12/2023,1/13/2023,1,70490240,ZPLF,2510,2,ZP01,SG00GS
176300100,25P2,"7,127.00","7,127.00","14,000.00",G,CCM,1510966119,1/11/2023,1/12/2023,1,70544149,ZPLF,2510,1,ZP01,SG00FE
176300101,25P2,"5,953.00","5,953.00","16,000.00",G,CCM,1510965506,1/11/2023,1/12/2023,1,70544149,ZPLF,2510,1,ZP01,SG00FE
176300102,25P2,724,724,"5,000.00",G,CCM,1510965816,1/11/2023,1/12/2023,1,70544149,ZPLF,2510,1,ZP01,SG00FE
176300288,25P2,46,46,0,G,CCM,1510957900,1/9/2023,1/20/2023,1,70464520,ZPLF,2524,1,ZP01,SG00GS
176300297,25P2,46,46,0,G,CCM,1510964648,1/11/2023,1/12/2023,1,70465560,ZPLF,2524,1,ZP01,SG00FE
176300410,25P2,46,46,0,G,CCM,1510964393,1/11/2023,1/12/2023,1,70043250,ZPLF,2524,1,ZP01,SG00FE
176300439,25P2,46,46,0,G,CCM,1510964752,1/11/2023,1/12/2023,1,70019459,ZPLF,2524,1,ZP01,SG00FE
176300572,25P2,138,138,"1,000.00",G,CCM,1510957901,1/9/2023,1/20/2023,1,70435202,ZPLF,2524,1,ZP01,SG00GS
176300610,25P2,138,138,"1,000.00",G,CCM,1510964669,1/11/2023,1/13/2023,1,70155196,ZPLF,2524,1,ZP01,SG00GV
176300846,25P2,"4,064.00","4,064.00","10,000.00",G,CCM,1510964220,1/11/2023,1/12/2023,1,70019459,ZPLF,2522,2,ZP01,SG00FE
176301162,25P2,38,38,0,G,CCM,1510967556,1/11/2023,1/12/2023,1,70019459,ZPLF,2510,2,ZP01,SG00FE
176301204,25P2,"12,700.00","12,700.00","35,000.00",G,CCM,1510967651,1/11/2023,1/12/2023,1,70043250,ZPLF,2522,3,ZP01,SG00FE
176301235,25P2,"13,450.00","13,450.00","50,000.00",G,CCM,1510972745,1/12/2023,1/13/2023,1,70401488,ZPLF,2522,2,ZP01,SG00GS
176301242,25P2,"1,112.00","1,112.00","2,000.00",G,CCM,1510972304,1/12/2023,1/13/2023,1,70408280,ZPLF,2522,1,ZP01,SG00GS
176301285,25P2,232,232,"1,000.00",G,CCM,1510971361,1/12/2023,1/13/2023,1,70083842,ZPLF,2510,1,ZP01,SG00GS
176301307,25P2,"12,060.00","12,060.00","29,000.00",G,CCM,1510972626,1/12/2023,1/13/2023,1,70081032,ZPLF,2522,1,ZP01,SG00GR
176301326,25P2,72,72,0,G,CCM,1510971700,1/12/2023,1/13/2023,1,70435202,ZPLF,2510,2,ZP01,SG00GS
176301342,25P2,194,194,"1,000.00",G,CCM,1510965545,1/11/2023,1/13/2023,1,70155196,ZPLF,2510,1,ZP01,SG00GV
176301356,25P2,"11,462.00","11,462.00","25,000.00",G,CCM,1510972744,1/12/2023,1/13/2023,1,70351598,ZPLF,2522,2,ZP01,SG00GS
176301367,25P2,"67,882.00","67,882.00","226,000.00",G,CCM,1510972806,1/12/2023,1/13/2023,1,70428043,ZPLF,2522,4,ZP01,SG00GR
176301473,25P2,87,87,372,G,CCM,1510965522,1/11/2023,1/12/2023,1,70043250,ZPLF,2510,1,ZP01,SG00FE
176301481,25P2,139,139,"1,000.00",G,CCM,1510971273,1/12/2023,1/13/2023,1,70081032,ZPLF,2510,1,ZP01,SG00GR
176301505,25P2,"3,114.00","3,114.00","8,000.00",G,CCM,1510973122,1/12/2023,1/13/2023,1,70435202,ZPLF,2522,2,ZP01,SG00GS
176301540,25P2,58,58,262,G,CCM,1510966292,1/11/2023,1/12/2023,1,70029285,ZPLF,2510,1,ZP01,SG00FE
176301592,25P2,"2,166.00","2,166.00","6,000.00",G,CCM,1510964110,1/11/2023,1/12/2023,1,70029285,ZPLF,2522,1,ZP01,SG00FE
176301673,25P2,"33,535.00","33,535.00","112,000.00",G,CCM,1510967823,1/11/2023,1/13/2023,1,70155196,ZPLF,2522,7,ZP01,SG00GV
176301899,25P2,23,23,0,G,CCM,1510970972,1/12/2023,1/13/2023,1,70373907,ZPLF,2510,1,ZP01,SG00GS
176301910,25P2,"1,736.00","1,736.00","3,000.00",G,CCM,1510973295,1/12/2023,1/13/2023,1,70490240,ZPLF,2522,1,ZP01,SG00GS
176302038,25P2,"16,520.00","16,520.00","58,000.00",G,CCM,1510967705,1/11/2023,1/12/2023,1,70544149,ZPLF,2522,4,ZP01,SG00FE
176302083,25P2,110,110,491,G,CCM,1510971096,1/12/2023,1/13/2023,1,70464520,ZPLF,2510,1,ZP01,SG00GS
176302129,25P2,112,112,493,G,CCM,1510966166,1/11/2023,1/12/2023,1,70544149,ZPLF,2510,2,ZP01,SG00FE
176302472,25P2,"6,718.00","6,718.00","10,000.00",G,CCM,1510965286,1/11/2023,1/12/2023,1,70019459,ZPLF,2524,2,ZP01,SG00FE
176302623,25P2,"7,993.00","7,993.00","13,000.00",G,CCM,1510961723,1/10/2023,1/20/2023,1,70083842,ZPLF,2524,2,ZP01,SG00GS
176302636,25P2,"2,151.00","2,151.00","4,000.00",G,CCM,1510962103,1/10/2023,1/20/2023,1,70435202,ZPLF,2524,2,ZP01,SG00GS
176302669,25P2,"3,678.00","3,678.00","8,000.00",G,CCM,1510965176,1/11/2023,1/13/2023,1,70155196,ZPLF,2524,2,ZP01,SG00GV
