Delivery,TransPlnngPt,Shipping Type,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Delivery Route,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group
176752739,2513,ZP90,"28,204.00","28,204.00","121,000.00",G,CCM,1510987313,1/18/2023,1/24/2023,1,70382288,ZPLF,2513,1,ZP01
176752741,2513,ZP90,"16,885.00","16,885.00","66,000.00",G,CCM,1511002777,1/21/2023,1/24/2023,1,70012890,ZPLF,2513,2,ZP01
176754590,2513,ZP90,"9,384.00","9,384.00","15,000.00",G,CCM,1511001588,1/20/2023,1/25/2023,1,70012924,ZPLF,2513,2,ZP01
176754621,2513,ZP90,"36,072.00","36,072.00","66,000.00",G,CCM,1510988906,1/18/2023,1/25/2023,1,70012924,ZPLF,2513,1,ZP01
176754622,2513,ZP90,"74,928.00","74,928.00","118,000.00",G,CCM,1511001591,1/20/2023,1/25/2023,1,70012920,ZPLF,2513,2,ZP01
176754623,2513,ZP90,"25,608.00","25,608.00","45,000.00",G,CCM,1510988937,1/18/2023,1/25/2023,1,70012920,ZPLF,2513,1,ZP01
176754624,2513,ZP90,"20,736.00","20,736.00","36,000.00",G,CCM,1510988908,1/18/2023,1/25/2023,1,70012922,ZPLF,2513,2,ZP01
176754629,2513,ZP90,"33,408.00","33,408.00","82,000.00",G,CCM,1510991247,1/18/2023,1/25/2023,1,70385954,ZPLF,2513,1,ZP01
176754657,2513,ZP90,"282,240.00","282,240.00","561,000.00",G,CCM,1510991250,1/18/2023,1/25/2023,1,70012907,ZPLF,2513,2,ZP01
176760546,2513,ZP90,"21,712.00","21,712.00","38,000.00",G,CCM,1510988522,1/18/2023,1/25/2023,1,70012918,ZPLF,2513,1,ZP01
176760550,2513,ZP90,622,622,"5,000.00",G,CCM,1510993638,1/19/2023,1/23/2023,1,70012665,ZPLF,2513,3,ZP01
176774663,2513,ZP90,"116,026.00","116,026.00","205,000.00",G,CCM,1511001640,1/20/2023,1/30/2023,1,70012106,ZPLF,2513,4,ZP01
176774664,2513,ZP90,"3,470.00","3,470.00","25,000.00",G,CCM,1511001638,1/20/2023,1/30/2023,1,70012106,ZPLF,2513,3,ZP01
176774666,2513,ZP90,"28,761.00","28,761.00","122,000.00",G,CCM,1511001639,1/20/2023,1/30/2023,1,70012106,ZPLF,2513,3,ZP01
176774667,2513,ZP90,"4,348.00","4,348.00","21,000.00",G,CCM,1510993652,1/19/2023,1/30/2023,1,70012106,ZPLF,2513,3,ZP01
176774669,2513,ZP90,"14,644.00","14,644.00","134,000.00",G,CCM,1510996346,1/19/2023,1/30/2023,1,70012106,ZPLF,2513,3,ZP01
176774671,2513,ZP90,301,301,"1,000.00",G,CCM,1510994040,1/19/2023,1/30/2023,1,70012106,ZPLF,2513,1,ZP01
176782264,2513,ZP90,"10,680.00","10,680.00","17,000.00",G,CCM,1510996475,1/19/2023,1/25/2023,1,70012890,ZPLF,2513,1,ZP01
