Delivery,TransPlnngPt,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Shipping Type,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group,Delivery Route,
802401616,2522,"48,380.00","48,380.00","205,000.00",G,CCM,1511414087,5/12/2023,5/23/2023,1,70022056,ZPLF,2522,1,ZP01,SG00GL,
802401617,2522,26,26,147,G,CCM,1511412157,5/12/2023,5/23/2023,1,70022056,ZPLF,2522,1,ZP01,SG00GL,
802401618,2522,"23,790.00","23,790.00","63,000.00",G,CCM,1511416037,5/15/2023,5/23/2023,1,70022065,ZPLF,2522,3,ZP01,SG00GP,
802401619,2522,"4,500.00","4,500.00","14,000.00",G,CCM,1511412165,5/12/2023,5/23/2023,1,70022065,ZPLF,2522,1,ZP01,SG00GP,
802401620,2522,"8,364.00","8,364.00","35,000.00",G,CCM,1511414071,5/12/2023,5/23/2023,1,70022065,ZPLF,2522,1,ZP01,SG00GP,
802401686,2522,"24,234.00","24,234.00","88,000.00",G,CCM,1511414106,5/12/2023,5/23/2023,1,70084113,ZPLF,2522,2,ZP01,SG00FE,
802401687,2522,"4,224.00","4,224.00","9,000.00",G,CCM,1511414211,5/13/2023,5/23/2023,1,70084113,ZPLF,2522,1,ZP01,SG00FE,
802401688,2522,"46,520.00","46,520.00","187,000.00",G,CCM,1511414085,5/12/2023,5/23/2023,1,70084113,ZPLF,2522,1,ZP01,SG00FE,
802401689,2522,"4,464.00","4,464.00","8,000.00",G,CCM,1511412183,5/12/2023,5/23/2023,1,70084113,ZPLF,2522,1,ZP01,SG00FE,
802401690,2522,"1,008.00","1,008.00","2,000.00",G,CCM,1511412175,5/12/2023,5/23/2023,1,70084113,ZPLF,2522,1,ZP01,SG00FE,
802401691,2522,"34,200.00","34,200.00","156,000.00",G,CCM,1511414068,5/12/2023,5/23/2023,1,70084113,ZPLF,2522,2,ZP01,SG00FE,
802401692,2522,"75,996.00","75,996.00","315,000.00",G,CCM,1511414060,5/12/2023,5/23/2023,1,70084113,ZPLF,2522,1,ZP01,SG00FE,
802401730,2522,"30,504.00","30,504.00","80,000.00",G,CCM,1511414064,5/12/2023,5/23/2023,1,70409000,ZPLF,2522,3,ZP01,SG00FL,
802401731,2522,"4,224.00","4,224.00","9,000.00",G,CCM,1511414145,5/13/2023,5/22/2023,1,70409000,ZPLF,2522,1,ZP01,SG00FL,
802401732,2522,"37,216.00","37,216.00","149,000.00",G,CCM,1511412325,5/12/2023,5/23/2023,1,70409000,ZPLF,2522,1,ZP01,SG00FL,
802401733,2522,"7,696.00","7,696.00","14,000.00",G,CCM,1511414058,5/12/2023,5/23/2023,1,70409000,ZPLF,2522,2,ZP01,SG00FL,
802401734,2522,"22,724.00","22,724.00","96,000.00",G,CCM,1511414053,5/12/2023,5/23/2023,1,70409000,ZPLF,2522,2,ZP01,SG00FL,
802401766,2522,"9,304.00","9,304.00","37,000.00",G,CCM,1511410004,5/12/2023,5/23/2023,1,70423025,ZPLF,2522,1,ZP01,NG00GD,
802401767,2522,"7,104.00","7,104.00","11,000.00",G,CCM,1511411951,5/12/2023,5/23/2023,1,70423025,ZPLF,2522,1,ZP01,NG00GD,
802401768,2522,"7,344.00","7,344.00","10,000.00",G,CCM,1511409994,5/12/2023,5/23/2023,1,70423025,ZPLF,2522,1,ZP01,NG00GD,
802401769,2522,"7,152.00","7,152.00","13,000.00",G,CCM,1511412058,5/12/2023,5/23/2023,1,70423025,ZPLF,2522,1,ZP01,NG00GD,
802401770,2522,"34,044.00","34,044.00","144,000.00",G,CCM,1511414010,5/12/2023,5/23/2023,1,70423025,ZPLF,2522,2,ZP01,NG00GD,
802401771,2522,536,536,"1,000.00",G,CCM,1511411981,5/12/2023,5/23/2023,1,70423025,ZPLF,2522,1,ZP01,NG00GD,
802401772,2522,"3,018.00","3,018.00","16,000.00",G,CCM,1511414009,5/12/2023,5/23/2023,1,70423076,ZPLF,2522,2,ZP01,NG00GC,
802401773,2522,"7,248.00","7,248.00","12,000.00",G,CCM,1511411954,5/12/2023,5/23/2023,1,70423076,ZPLF,2522,1,ZP01,NG00GC,
802401774,2522,"22,352.00","22,352.00","91,000.00",G,CCM,1511410000,5/12/2023,5/23/2023,1,70423076,ZPLF,2522,1,ZP01,NG00GC,
802401781,2522,196,196,357,G,CCM,1511411968,5/12/2023,5/23/2023,1,70433232,ZPLF,2522,1,ZP01,NG00GG,
802401782,2522,"2,181.60","2,181.60","2,897.26",G,CCM,,,5/23/2023,1,70433232,ZPLF,2522,1,ZP01,NG00GG,
802401783,2522,"2,232.00","2,232.00","52,000.00",G,CCM,1511410007,5/12/2023,5/23/2023,1,70433232,ZPLF,2522,1,ZP01,NG00GG,
802401784,2522,72,72,198,G,CCM,1511412152,5/12/2023,5/23/2023,1,70586841,ZPLF,2522,1,ZP01,NG00GG,
802401785,2522,840,840,"1,000.00",G,CCM,1511412017,5/12/2023,5/23/2023,1,70586841,ZPLF,2522,1,ZP01,NG00GG,
802401786,2522,"28,530.00","28,530.00","85,000.00",G,CCM,1511410144,5/12/2023,5/23/2023,1,70414082,ZPLF,2522,2,ZP01,NG00GG,
802401787,2522,504,504,"1,000.00",G,CCM,1511412026,5/12/2023,5/23/2023,1,70414082,ZPLF,2522,1,ZP01,NG00GG,
802401788,2522,456,456,"1,000.00",G,CCM,1511412154,5/12/2023,5/23/2023,1,70414082,ZPLF,2522,1,ZP01,NG00GG,
802401789,2522,"7,104.00","7,104.00","13,000.00",G,CCM,1511411966,5/12/2023,5/23/2023,1,70414082,ZPLF,2522,1,ZP01,NG00GG,
802401790,2522,144,144,396,G,CCM,1511412029,5/12/2023,5/23/2023,1,70534327,ZPLF,2522,1,ZP01,NG00GG,
802401791,2522,72,72,198,G,CCM,1511412270,5/12/2023,5/23/2023,1,70538015,ZPLF,2522,1,ZP01,SG00GT,
802401792,2522,144,144,396,G,CCM,1511411994,5/12/2023,5/23/2023,1,70554155,ZPLF,2522,1,ZP01,NG00GH,
802401793,2522,840,840,"1,000.00",G,CCM,1511411982,5/12/2023,5/23/2023,1,70554155,ZPLF,2522,1,ZP01,NG00GH,
802401794,2522,"19,696.00","19,696.00","82,000.00",G,CCM,1511414116,5/12/2023,5/23/2023,1,70022066,ZPLF,2522,1,ZP01,SG00GN,
802401795,2522,"9,304.00","9,304.00","37,000.00",G,CCM,1511410053,5/12/2023,5/23/2023,1,70578874,ZPLF,2522,1,ZP01,NG00GA,
802401796,2522,"3,584.00","3,584.00","7,000.00",G,CCM,1511411993,5/12/2023,5/23/2023,1,70578874,ZPLF,2522,1,ZP01,NG00GA,
802401797,2522,"8,310.00","8,310.00","47,000.00",G,CCM,1511412251,5/12/2023,5/23/2023,1,70085997,ZPLF,2522,1,ZP01,SG00FE,
802401798,2522,"4,224.00","4,224.00","9,000.00",G,CCM,1511414193,5/13/2023,5/23/2023,1,70085997,ZPLF,2522,1,ZP01,SG00FE,
802401799,2522,"6,732.00","6,732.00","19,000.00",G,CCM,1511412284,5/12/2023,5/23/2023,1,70085997,ZPLF,2522,1,ZP01,SG00FE,
802401800,2522,"42,096.00","42,096.00","173,000.00",G,CCM,1511414102,5/12/2023,5/23/2023,1,70085997,ZPLF,2522,1,ZP01,SG00FE,
802401822,2522,"20,568.00","20,568.00","67,000.00",G,CCM,1511412216,5/12/2023,5/23/2023,1,70029944,ZPLF,2522,3,ZP01,NG00GH,
802401823,2522,76,76,0,G,CCM,1511411995,5/12/2023,5/23/2023,1,70029944,ZPLF,2522,1,ZP01,NG00GH,
802401824,2522,"3,432.00","3,432.00","6,000.00",G,CCM,1511411959,5/12/2023,5/23/2023,1,70029944,ZPLF,2522,1,ZP01,NG00GH,
802401825,2522,"37,716.00","37,716.00","91,000.00",G,CCM,1511414006,5/12/2023,5/23/2023,1,70033756,ZPLF,2522,3,ZP01,NG00GJ,
802401826,2522,"9,304.00","9,304.00","37,000.00",G,CCM,1511410001,5/12/2023,5/23/2023,1,70033756,ZPLF,2522,1,ZP01,NG00GJ,
802401827,2522,532,532,"1,000.00",G,CCM,1511412106,5/12/2023,5/23/2023,1,70033756,ZPLF,2522,1,ZP01,NG00GJ,
802401828,2522,"8,364.00","8,364.00","35,000.00",G,CCM,1511409999,5/12/2023,5/23/2023,1,70033756,ZPLF,2522,1,ZP01,NG00GJ,
802401829,2522,"19,744.00","19,744.00","82,000.00",G,CCM,1511414003,5/12/2023,5/23/2023,1,70033756,ZPLF,2522,2,ZP01,NG00GJ,
802401830,2522,"1,728.00","1,728.00","4,000.00",G,CCM,1511411919,5/12/2023,5/23/2023,1,70033756,ZPLF,2522,1,ZP01,NG00GJ,
802401865,2522,"13,776.00","13,776.00","21,000.00",G,CCM,1511414079,5/12/2023,5/23/2023,1,70538780,ZPLF,2522,1,ZP01,SG00FE,
802401866,2522,"8,364.00","8,364.00","35,000.00",G,CCM,1511414076,5/12/2023,5/23/2023,1,70538780,ZPLF,2522,1,ZP01,SG00FE,
802401867,2522,"39,764.00","39,764.00","169,000.00",G,CCM,1511414078,5/12/2023,5/23/2023,1,70538780,ZPLF,2522,1,ZP01,SG00FE,
802401870,2522,"53,760.00","53,760.00","91,000.00",G,CCM,1511417608,5/15/2023,5/19/2023,1,70022617,ZPLF,2522,3,ZP01,SG00GP,
802401873,2522,840,840,"1,000.00",G,CCM,1511412050,5/12/2023,5/23/2023,1,70242864,ZPLF,2522,1,ZP01,NG00GI,
802401875,2522,"18,816.00","18,816.00","31,000.00",G,CCM,1511413834,5/12/2023,5/22/2023,1,70022681,ZPLF,2522,2,ZP01,SG00GR,
802401921,2522,"18,192.00","18,192.00","31,000.00",G,CCM,1511417616,5/15/2023,5/22/2023,1,70022681,ZPLF,2522,3,ZP01,SG00GR,
802401922,2522,"6,864.00","6,864.00","12,000.00",G,CCM,1511417087,5/15/2023,5/22/2023,1,70360301,ZPLF,2522,1,ZP01,SG00GP,
802401923,2522,"8,112.00","8,112.00","14,000.00",G,CCM,1511409789,5/11/2023,5/22/2023,1,70082205,ZPLF,2522,1,ZP01,SG00GU,
802401924,2522,"3,552.00","3,552.00","6,000.00",G,CCM,1511417607,5/15/2023,5/22/2023,1,70082205,ZPLF,2522,1,ZP01,SG00GU,
802401926,2522,"8,976.00","8,976.00","14,000.00",G,CCM,1511409790,5/11/2023,5/22/2023,1,70245228,ZPLF,2522,1,ZP01,SG00FH,
802407066,2522,438,438,"2,000.00",G,CCM,1511414048,5/12/2023,5/17/2023,1,70400118,ZPLF,2522,2,ZP01,SG00FE,
802407067,2522,248,248,"1,000.00",G,CCM,1511413993,5/12/2023,5/17/2023,1,70017148,ZPLF,2522,1,ZP01,NG00GG,
802407068,2522,"2,838.00","2,838.00","14,000.00",G,CCM,1511414008,5/12/2023,5/17/2023,1,70017321,ZPLF,2522,2,ZP01,SG00GV,
802407074,2522,"18,328.00","18,328.00","68,000.00",G,CCM,1511414043,5/12/2023,5/17/2023,1,70017245,ZPLF,2522,2,ZP01,NG00GC,
802407075,2522,"10,566.00","10,566.00","60,000.00",G,CCM,1511414001,5/12/2023,5/17/2023,1,70017131,ZPLF,2522,2,ZP01,SG00GL,
802407076,2522,"19,132.00","19,132.00","69,000.00",G,CCM,1511414000,5/12/2023,5/17/2023,1,70017263,ZPLF,2522,3,ZP01,SG00GO,
802407077,2522,"8,132.00","8,132.00","31,000.00",G,CCM,1511413994,5/12/2023,5/17/2023,1,70017194,ZPLF,2522,2,ZP01,NG00GJ,
802411388,2522,"153,576.00","153,576.00","658,000.00",G,CCM,1511414021,5/12/2023,5/23/2023,1,70022018,ZPLF,2522,3,ZP01,NG00GG,
802411389,2522,"158,446.00","158,446.00","673,000.00",G,CCM,1511412227,5/12/2023,5/23/2023,1,70022037,ZPLF,2522,3,ZP01,NG00GH,
802411390,2522,"53,992.00","53,992.00","228,000.00",G,CCM,1511412214,5/12/2023,5/23/2023,1,70022037,ZPLF,2522,2,ZP01,NG00GH,
802411397,2522,"113,836.00","113,836.00","479,000.00",G,CCM,1511417240,5/15/2023,5/23/2023,1,70022034,ZPLF,2522,4,ZP01,SG00GN,
802411398,2522,"125,410.00","125,410.00","538,972.97",G,CCM,,,5/23/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
802411399,2522,"102,592.00","102,592.00","437,000.00",G,CCM,1511414103,5/12/2023,5/23/2023,1,70022041,ZPLF,2522,3,ZP01,SG00FL,
802411400,2522,"44,848.00","44,848.00","185,000.00",G,CCM,1511414083,5/12/2023,5/23/2023,1,70022041,ZPLF,2522,2,ZP01,SG00FL,
802411491,2522,"87,708.00","87,708.00","372,492.18",G,CCM,,,5/23/2023,1,70022043,ZPLF,2522,1,ZP01,SG00GO,
802411492,2522,"71,092.00","71,092.00","301,000.00",G,CCM,1511414105,5/12/2023,5/23/2023,1,70022043,ZPLF,2522,1,ZP01,SG00GO,
802411493,2522,"116,092.00","116,092.00","493,000.00",G,CCM,1511417216,5/15/2023,5/23/2023,1,70022050,ZPLF,2522,7,ZP01,SG00FH,
802411494,2522,"87,208.00","87,208.00","381,184.92",G,CCM,,,5/23/2023,1,70022054,ZPLF,2522,1,ZP01,SG00FL,
802411495,2522,"102,984.00","102,984.00","449,072.02",G,CCM,,,5/23/2023,1,70043214,ZPLF,2522,1,ZP01,NG00GE,
802411496,2522,"106,436.00","106,436.00","437,000.00",G,CCM,1511414075,5/12/2023,5/23/2023,1,70043214,ZPLF,2522,2,ZP01,NG00GE,
