#{"t_start": 1766644727.1364343, "env_id": "None"}
r,l,t
2.6800177,1,580.587718
2.338087,3,580.588079
2.4800704,1,583.897168
3.7606726,3,583.897431
3.2206173,3,585.691016
3.1075633,2,587.599136
2.488201,1,587.599636
3.5961323,3,596.320622
2.8496041,8,604.439946
3.803003,5,604.440271
2.5508873,1,607.466796
3.4368331,3,607.467083
3.2852156,8,607.467238
1.5898796,1,608.342087
2.9779239,2,608.611537
2.7731102,3,608.611858
1.0380265,3,608.909842
3.425298,3,611.255371
4.5064573,5,613.374231
3.7849557,3,613.374551
3.0465696,4,613.374648
3.8777199,3,618.802852
2.7198348,5,622.18429
3.2505229,5,622.369568
0.28300008,1,622.369891
2.772618,1,624.611614
2.7246425,3,627.8984
3.7187266,6,632.419559
3.5841732,3,632.419871
3.514479,11,640.338717
3.8381371,4,646.858235
4.1146975,3,646.858563
2.359716,1,650.097398
3.813815,2,650.097733
3.8679163,4,661.553991
2.3570976,2,663.387427
4.077725,8,669.246975
3.7746654,12,669.247309
1.6100601,1,674.316443
1.5025337,1,674.31673
0.5753606,1,676.736791
3.257837,11,679.677633
3.5479555,6,688.031058
4.754599,6,688.439007
3.6631525,12,694.799836
3.111846,2,697.056442
3.6491947,2,705.151185
3.690918,8,705.151623
3.664325,2,713.957134
2.7812862,1,713.957485
0.062032983,1,718.875283
3.1472116,3,724.357372
4.063984,7,724.357694
3.9693017,2,727.651977
4.0004406,5,729.086076
-0.005,1,729.303882
4.00094,9,738.945791
3.327687,9,742.105252
3.5142715,2,743.943555
3.935063,6,743.944006
2.7843812,1,750.425118
2.8953516,2,751.398455
3.2066638,8,751.804178
2.9929764,4,751.804506
-0.005,1,752.037035
2.7564878,3,752.324656
2.7939777,2,753.375896
3.797231,4,756.533132
2.7179284,1,759.566375
3.8349056,19,764.421253
3.6457283,4,764.421717
3.1135337,1,764.998642
2.9918196,4,765.002544
3.0273519,2,767.533274
2.6152983,4,768.608372
3.273291,2,768.608706
0.88820106,1,771.799943
2.7659943,2,771.800292
1.2183995,1,778.21836
3.895617,2,778.218864
3.6503148,5,780.23049
2.812087,1,780.23109
3.031989,2,781.646756
3.7801125,3,782.857576
2.610428,1,784.446446
2.0056171,4,784.75911
3.5077808,5,784.759407
0.19593157,1,784.759622
1.5182686,1,785.045451
2.583105,1,785.045779
2.2534585,2,785.197063
2.7771873,10,786.065039
1.4557484,3,789.109933
4.1109695,4,791.754112
4.285123,9,797.531591
2.642671,2,798.123151
3.9452145,12,799.089017
3.6205714,6,799.089321
4.2830973,9,802.12141
0.38810682,1,802.326169
2.812576,1,810.562489
4.042516,5,810.783475
3.987397,4,810.7838
3.064697,2,812.816536
1.3413838,1,812.816875
1.5339537,1,813.827274
1.1277329,2,813.827599
1.8330942,2,819.667166
2.845951,1,827.250373
3.5423386,9,827.250844
3.5587137,5,829.724401
3.6692305,2,829.724915
3.7846487,7,830.002903
1.583489,1,830.00323
