#{"t_start": 1766639517.000053, "env_id": "None"}
r,l,t
4.3656263,85,373.305779
4.8255525,42,374.020483
4.430321,27,378.088443
4.898215,80,381.090816
2.3190224,8,382.355013
4.955463,69,383.321684
3.7143383,97,384.463283
4.17762,13,385.283365
4.8727436,54,385.898537
4.9463396,24,385.898537
4.3652263,14,386.648529
4.392176,8,387.128094
3.4577909,6,387.642998
3.624964,4,387.777108
