Customer,KGM,CBM,CusLat,CusLong,Beginning1,Ending1,DwellTime,AllowedTrucks,Depot,DepotLat,DepotLong,DOW,Beginning2,Ending2,HUs
70012117,286.53,1.218,10.29553675,123.896379,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Thursday,,,1
70012290,42.028999999999996,0.295,10.32096029,123.8856329,8:00,17:00,0.65,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Thursday,,,4
70012430,102.0,0.0,10.31486357,123.8920974,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Thursday,,,1
70012714,2118.732,129.282,10.31040063,123.8959001,8:00,17:00,0.45,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Thursday,,,2
70130947,31.216,0.101,10.36966191,123.9183403,8:00,17:00,0.55,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Thursday,,,3
70278437,12.132,0.061,10.31486661,123.8914185,8:00,17:00,0.55,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Thursday,,,3
70382288,3.768,0.009,10.31275246,123.8947265,8:00,17:00,0.55,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Thursday,,,3
70438306,330.0,2.0,10.31660753,123.9009904,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Thursday,,,1
