timestep,search_progress,destroy_op,repair_op,accepted,stopped,reward,solution_delta,instance_id
6,0.2,4,1,0,0,0.0,-0.02255455,8
7,0.24,4,0,1,0,0.0,0.0,8
8,0.28,2,0,0,0,0.0,-0.013301258,8
9,0.32,2,2,1,0,0.0,0.0,8
10,0.36,2,0,0,1,0.0,-0.0050665736,8
11,0.4,2,0,0,1,0.0,0.0,8
1,0.0,0,0,1,0,0.022080469973964307,0.0,9
2,0.04,3,0,1,0,0.007927902430352067,0.011040235,9
3,0.08,2,1,1,0,0.0,0.003963951,9
4,0.12,2,2,1,0,-0.001338654747679635,-0.0108250445,9
5,0.16,2,0,1,0,0.024006133915793492,0.014330605,9
6,0.2,2,0,1,0,0.1902175474184778,0.012003067,9
7,0.24,2,2,1,0,0.0,0.09510878,9
8,0.28,3,0,1,0,0.031669561237617654,0.0,9
9,0.32,2,0,1,0,0.14415432988029928,0.01583478,9
10,0.36,0,2,1,0,0.0,0.07207716,9
11,0.4,2,0,1,0,0.0,0.0,9
12,0.44,3,0,1,1,0.012251657708282505,-0.0073894025,9
13,0.48,0,0,1,1,0.0,0.016350174,9
